"scene_number","scene_heading","motif_id","motif","source_principale","reference_iliade","source_attendue","statut_probable","priorite","raison_entree_audit"
"29","EXT. PALACE OF TROY","briseis","Briseis","L'Iliade","Chant VI","Iliade, Chant I / adaptation filmique a verifier","invention contradictoire probable pour la genealogie filmique","haute","match: BRISEIS|Bris[eé]is"
"29","EXT. PALACE OF TROY","duel_achille_hector","Duel Achille / Hector","L'Iliade","Chant VI","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"29","EXT. PALACE OF TROY","femmes_troyennes","Femmes troyennes et captives","L'Iliade","Chant VI","Euripide Troyennes / Hecube / Andromaque","reprise post-iliadique ou deplacement","moyenne","match: HECUBA|H[eé]cube|CASSANDRA|Cassandre|ANDROMACHE|Andromaque|captives|femmes troyennes|Troyennes"
"29","EXT. PALACE OF TROY","hector_andromaque_astyanax","Hector, Andromaque, Astyanax","L'Iliade","Chant VI","Iliade, Chant VI / Euripide selon contexte","reprise ou deplacement","haute","match: HECTOR|Hector + ANDROMACHE|Andromaque|ASTYANAX|Astyanax|Scamandrius|Scamandrios"
"29","EXT. PALACE OF TROY","inventions_geo_politiques","Inventions geographiques ou politiques du film","L'Iliade","Chant VI","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"29","EXT. PALACE OF TROY","paris_helene_sparte","Paris, Helene et Sparte","L'Iliade","Chant VI","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"29","EXT. PALACE OF TROY","priam_achille_corps_hector","Priam chez Achille et restitution du corps","L'Iliade","Chant VI","Iliade, Chant XXIV","reprise avec simplification","haute","match: PRIAM|Priam + ACHILLES|Achille|HECTOR|Hector|corps|body"
"29","EXT. PALACE OF TROY","sac_chute_troie","Sac et chute de Troie","L'Iliade","Chant VI","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
"29","EXT. PALACE OF TROY","survie_paris","Survie ou destin de Paris","L'Iliade","Chant VI","Cycle Troyen / adaptation","invention contradictoire probable","moyenne","match: PARIS|P[âa]ris + survit|survie|fuit|fuite|final|mort|Apollon|Apollo"
"30","INT. PRIAM'S MEETING HALL - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"30","INT. PRIAM'S MEETING HALL - DAY","paris_helene_sparte","Paris, Helene et Sparte","Adaptation CinÃ©ma","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"30","INT. PRIAM'S MEETING HALL - DAY","priam_achille_corps_hector","Priam chez Achille et restitution du corps","Adaptation CinÃ©ma","","Iliade, Chant XXIV","reprise avec simplification","haute","match: PRIAM|Priam + ACHILLES|Achille|HECTOR|Hector|corps|body"
"32","INT. PARIS'S BEDCHAMBER - NIGHT","duel_paris_menelas","Duel Paris / Menelas","Adaptation CinÃ©ma","","Iliade, Chant III","reprise ou deplacement","haute","match: duel|combat|affronte|MENELAUS|M[eé]n[eé]las + PARIS|P[âa]ris"
"32","INT. PARIS'S BEDCHAMBER - NIGHT","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"32","INT. PARIS'S BEDCHAMBER - NIGHT","paris_helene_sparte","Paris, Helene et Sparte","Adaptation CinÃ©ma","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"34","EXT. GUARD TOWER - DAWN","cheval_troie","Cheval de Troie","Le Cycle Troyen","","Cycle Troyen / Virgile Eneide II / Odyssee VIII","reprise post-iliadique ou invention sur fond emprunte","haute","match: cheval|horse|wooden horse|bois|Épéios|Epeios|Sinon|Laocoon"
"35","INT. HECTOR'S CHAMBER - CONTINUOUS","cheval_troie","Cheval de Troie","L'Iliade","Chant VI","Cycle Troyen / Virgile Eneide II / Odyssee VIII","reprise post-iliadique ou invention sur fond emprunte","haute","match: cheval|horse|wooden horse|bois|Épéios|Epeios|Sinon|Laocoon"
"35","INT. HECTOR'S CHAMBER - CONTINUOUS","femmes_troyennes","Femmes troyennes et captives","L'Iliade","Chant VI","Euripide Troyennes / Hecube / Andromaque","reprise post-iliadique ou deplacement","moyenne","match: HECUBA|H[eé]cube|CASSANDRA|Cassandre|ANDROMACHE|Andromaque|captives|femmes troyennes|Troyennes"
"35","INT. HECTOR'S CHAMBER - CONTINUOUS","hector_andromaque_astyanax","Hector, Andromaque, Astyanax","L'Iliade","Chant VI","Iliade, Chant VI / Euripide selon contexte","reprise ou deplacement","haute","match: HECTOR|Hector + ANDROMACHE|Andromaque|ASTYANAX|Astyanax|Scamandrius|Scamandrios"
"35","INT. HECTOR'S CHAMBER - CONTINUOUS","inventions_geo_politiques","Inventions geographiques ou politiques du film","L'Iliade","Chant VI","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"35","INT. HECTOR'S CHAMBER - CONTINUOUS","paris_helene_sparte","Paris, Helene et Sparte","L'Iliade","Chant VI","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"37","EXT. TROY - DAY","femmes_troyennes","Femmes troyennes et captives","Adaptation CinÃ©ma","","Euripide Troyennes / Hecube / Andromaque","reprise post-iliadique ou deplacement","moyenne","match: HECUBA|H[eé]cube|CASSANDRA|Cassandre|ANDROMACHE|Andromaque|captives|femmes troyennes|Troyennes"
"38","EXT. COUNTRYSIDE - DAY","sac_chute_troie","Sac et chute de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
"40","EXT. ACHILLES' WARSHIP","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"40","EXT. ACHILLES' WARSHIP","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"40","EXT. ACHILLES' WARSHIP","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"40","EXT. ACHILLES' WARSHIP","sac_chute_troie","Sac et chute de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
"41","EXT. AGAMEMNON'S WARSHIP","paris_helene_sparte","Paris, Helene et Sparte","Adaptation CinÃ©ma","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"41","EXT. AGAMEMNON'S WARSHIP","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"43","EXT. TROJAN ARMORY - DAY","cheval_troie","Cheval de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Odyssee VIII","reprise post-iliadique ou invention sur fond emprunte","haute","match: cheval|horse|wooden horse|bois|Épéios|Epeios|Sinon|Laocoon"
"43","EXT. TROJAN ARMORY - DAY","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"44","INT. TROJAN ARMORY - DAY","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"45","EXT. ACHILLES' WARSHIP","patrocle_armes_achille","Patrocle et les armes d Achille","Adaptation CinÃ©ma","","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"46","EXT. GATES OF TROY - DAY","femmes_troyennes","Femmes troyennes et captives","Adaptation CinÃ©ma","","Euripide Troyennes / Hecube / Andromaque","reprise post-iliadique ou deplacement","moyenne","match: HECUBA|H[eé]cube|CASSANDRA|Cassandre|ANDROMACHE|Andromaque|captives|femmes troyennes|Troyennes"
"46","EXT. GATES OF TROY - DAY","hector_andromaque_astyanax","Hector, Andromaque, Astyanax","Adaptation CinÃ©ma","","Iliade, Chant VI / Euripide selon contexte","reprise ou deplacement","haute","match: HECTOR|Hector + ANDROMACHE|Andromaque|ASTYANAX|Astyanax|Scamandrius|Scamandrios"
"46","EXT. GATES OF TROY - DAY","sac_chute_troie","Sac et chute de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
"49","EXT. TROJAN BEACH - CONTINUOUS","femmes_troyennes","Femmes troyennes et captives","Adaptation CinÃ©ma","","Euripide Troyennes / Hecube / Andromaque","reprise post-iliadique ou deplacement","moyenne","match: HECUBA|H[eé]cube|CASSANDRA|Cassandre|ANDROMACHE|Andromaque|captives|femmes troyennes|Troyennes"
"50","EXT. ACHILLES' WARSHIP - CONTINUOUS","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"50","EXT. ACHILLES' WARSHIP - CONTINUOUS","patrocle_armes_achille","Patrocle et les armes d Achille","Adaptation CinÃ©ma","","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"51","EXT. TROJAN BEACH - DAY","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"52","EXT. AGAMEMNON'S SHIP - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"52","EXT. AGAMEMNON'S SHIP - DAY","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"53","EXT. TROJAN PLAIN - DAY","sac_chute_troie","Sac et chute de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
"54","EXT. TROJAN BEACH - CONTINUOUS","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"55","EXT. AJAX'S SHIP - CONTINUOUS","ajax","Ajax","L'Iliade","Chant VII","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"55","EXT. AJAX'S SHIP - CONTINUOUS","duel_achille_hector","Duel Achille / Hector","L'Iliade","Chant VII","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"56","EXT. TROJAN BEACH DUNES - DAY","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"56","EXT. TROJAN BEACH DUNES - DAY","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"57","EXT. TEMPLE OF APOLLO - DAY","patrocle_armes_achille","Patrocle et les armes d Achille","Adaptation CinÃ©ma","","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"58","EXT. AJAX'S SHIP - CONTINUOUS","ajax","Ajax","L'Iliade","Chant VII","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"58","EXT. AJAX'S SHIP - CONTINUOUS","duel_achille_hector","Duel Achille / Hector","L'Iliade","Chant VII","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"59","EXT. TEMPLE OF APOLLO - CONTINUOUS","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"59","EXT. TEMPLE OF APOLLO - CONTINUOUS","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"60","EXT. TROJAN BEACH - CONTINUOUS","ajax","Ajax","Adaptation CinÃ©ma","","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"60","EXT. TROJAN BEACH - CONTINUOUS","cheval_troie","Cheval de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Odyssee VIII","reprise post-iliadique ou invention sur fond emprunte","haute","match: cheval|horse|wooden horse|bois|Épéios|Epeios|Sinon|Laocoon"
"60","EXT. TROJAN BEACH - CONTINUOUS","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"60","EXT. TROJAN BEACH - CONTINUOUS","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"61","EXT. TEMPLE OF APOLLO - CONTINUOUS","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"61","EXT. TEMPLE OF APOLLO - CONTINUOUS","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"61","EXT. TEMPLE OF APOLLO - CONTINUOUS","patrocle_armes_achille","Patrocle et les armes d Achille","Adaptation CinÃ©ma","","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"62","EXT. TROJAN BEACH - DAY","ajax","Ajax","L'Iliade","Chant VII","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"62","EXT. TROJAN BEACH - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","L'Iliade","Chant VII","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"63","INT. TEMPLE OF APOLLO - DAY","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"64","EXT. TROJAN BEACH - DAY","sac_chute_troie","Sac et chute de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
"65","INT. ALTAR ROOM - DAY","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"66","EXT. TEMPLE OF APOLLO - CONTINUOUS","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"66","EXT. TEMPLE OF APOLLO - CONTINUOUS","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"67","EXT. TROJAN BEACH - DAY","cheval_troie","Cheval de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Odyssee VIII","reprise post-iliadique ou invention sur fond emprunte","haute","match: cheval|horse|wooden horse|bois|Épéios|Epeios|Sinon|Laocoon"
"67","EXT. TROJAN BEACH - DAY","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"67","EXT. TROJAN BEACH - DAY","sac_chute_troie","Sac et chute de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
"68","EXT. AGAMEMNON'S SHIP - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"68","EXT. AGAMEMNON'S SHIP - DAY","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"69","EXT. BEACH ENCAMPMENT - LATER","ajax","Ajax","Adaptation CinÃ©ma","","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"69","EXT. BEACH ENCAMPMENT - LATER","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"70","INT. ACHILLES' TENT - CONTINUOUS","briseis","Briseis","L'Iliade","Chant I","Iliade, Chant I / adaptation filmique a verifier","invention contradictoire probable pour la genealogie filmique","haute","match: BRISEIS|Bris[eé]is"
"70","INT. ACHILLES' TENT - CONTINUOUS","mort_agamemnon","Mort ou destin d Agamemnon","L'Iliade","Chant I","Eschyle Agamemnon / Odyssee / adaptation","invention contradictoire probable","haute","match: AGAMEMNON|Agamemnon + mort|tu[eé]|Clytemnestre|Clytemnestra|Bris[eé]is"
"70","INT. ACHILLES' TENT - CONTINUOUS","noms_secondaires","Noms propres secondaires a verifier","L'Iliade","Chant I","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"70","INT. ACHILLES' TENT - CONTINUOUS","priam_achille_corps_hector","Priam chez Achille et restitution du corps","L'Iliade","Chant I","Iliade, Chant XXIV","reprise avec simplification","haute","match: PRIAM|Priam + ACHILLES|Achille|HECTOR|Hector|corps|body"
"70","INT. ACHILLES' TENT - CONTINUOUS","querelle_achille_agamemnon","Querelle Achille / Agamemnon","L'Iliade","Chant I","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"71","EXT. AGAMEMNON'S TENT - LATER","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"72","INT. AGAMEMNON'S TENT - CONTINUOUS","briseis","Briseis","L'Iliade","Chant I","Iliade, Chant I / adaptation filmique a verifier","invention contradictoire probable pour la genealogie filmique","haute","match: BRISEIS|Bris[eé]is"
"72","INT. AGAMEMNON'S TENT - CONTINUOUS","inventions_geo_politiques","Inventions geographiques ou politiques du film","L'Iliade","Chant I","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"72","INT. AGAMEMNON'S TENT - CONTINUOUS","mort_agamemnon","Mort ou destin d Agamemnon","L'Iliade","Chant I","Eschyle Agamemnon / Odyssee / adaptation","invention contradictoire probable","haute","match: AGAMEMNON|Agamemnon + mort|tu[eé]|Clytemnestre|Clytemnestra|Bris[eé]is"
"72","INT. AGAMEMNON'S TENT - CONTINUOUS","noms_secondaires","Noms propres secondaires a verifier","L'Iliade","Chant I","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"72","INT. AGAMEMNON'S TENT - CONTINUOUS","querelle_achille_agamemnon","Querelle Achille / Agamemnon","L'Iliade","Chant I","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"74","EXT. CITY OF TROY - DUSK","femmes_troyennes","Femmes troyennes et captives","Adaptation CinÃ©ma","","Euripide Troyennes / Hecube / Andromaque","reprise post-iliadique ou deplacement","moyenne","match: HECUBA|H[eé]cube|CASSANDRA|Cassandre|ANDROMACHE|Andromaque|captives|femmes troyennes|Troyennes"
"76","INT. PRIAM'S MEETING HALL - NIGHT","duel_paris_menelas","Duel Paris / Menelas","L'Iliade","Chant III, Chant XII","Iliade, Chant III","reprise ou deplacement","haute","match: duel|combat|affronte|MENELAUS|M[eé]n[eé]las + PARIS|P[âa]ris"
"76","INT. PRIAM'S MEETING HALL - NIGHT","noms_secondaires","Noms propres secondaires a verifier","L'Iliade","Chant III, Chant XII","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"76","INT. PRIAM'S MEETING HALL - NIGHT","paris_helene_sparte","Paris, Helene et Sparte","L'Iliade","Chant III, Chant XII","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"76","INT. PRIAM'S MEETING HALL - NIGHT","priam_achille_corps_hector","Priam chez Achille et restitution du corps","L'Iliade","Chant III, Chant XII","Iliade, Chant XXIV","reprise avec simplification","haute","match: PRIAM|Priam + ACHILLES|Achille|HECTOR|Hector|corps|body"
